class,feature,class_mean_standardized,rest_mean_standardized,class_sd_standardized,rest_sd_standardized,cohens_d_class_vs_rest,abs_cohens_d,direction,centroid_distance_19D
prime,H_algebraic,-2.4102269755739876,0.20531479815410766,8.881840770857005e-16,0.7403890889724026,-3.6800465394976176,3.6800465394976176,lower_in_class,3.7244132989862337
prime,H_geometric,-1.9441417977158402,0.1656114070692174,0.0,0.8577799491622339,-2.5621669526702067,2.5621669526702067,lower_in_class,3.7244132989862337
prime,H_arithmetic,-1.466480436214468,0.12492190063826585,0.007098432645207113,0.9414778301177372,-1.760842461964193,1.760842461964193,lower_in_class,3.7244132989862337
prime,H_pos_base2,-0.07664166812016923,0.006528708200415462,1.1170425718474761,0.9891167631933957,-0.08319110896721839,0.08319110896721839,lower_in_class,3.7244132989862337
prime,H_pos_base3,-0.045433878964250184,0.0038702776889650244,1.0430879278237108,0.9961487884694751,-0.04930844278052341,0.04930844278052341,lower_in_class,3.7244132989862337
prime,H_pos_base4,-0.036553624694702316,0.003113814653995063,1.0320371027442983,0.997162542030499,-0.03966965736972854,0.03966965736972854,lower_in_class,3.7244132989862337
prime,H_pos_base5,-0.03389574257990088,0.002887403392544529,1.0164801392336444,0.998531493574079,-0.03678490931541018,0.03678490931541018,lower_in_class,3.7244132989862337
prime,H_pos_base6,-0.03591682507759405,0.0030595689807945883,1.0150615412335027,0.9986478835290141,-0.038978496814398855,0.038978496814398855,lower_in_class,3.7244132989862337
prime,H_pos_base7,-0.024059358226447464,0.0020494925698046934,1.013018305028399,0.9988575099462416,-0.026109468417425997,0.026109468417425997,lower_in_class,3.7244132989862337
prime,H_pos_base8,-0.041735888147063666,0.0035552649346061722,1.017625120410269,0.9984046950563652,-0.04529446836022553,0.04529446836022553,lower_in_class,3.7244132989862337
prime,H_pos_base9,-0.04477364366244953,0.003814035650726464,1.0198302506788053,0.998200843198078,-0.04859177986978412,0.04859177986978412,lower_in_class,3.7244132989862337
prime,H_pos_base10,-0.0278314312678951,0.002370816006549752,1.0158090635827262,0.998606991224721,-0.03020321354100146,0.03020321354100146,lower_in_class,3.7244132989862337
prime,H_pos_base11,-0.029803093109424545,0.002538771704135234,1.0098806121022357,0.9991138115231157,-0.03234305608518567,0.03234305608518567,lower_in_class,3.7244132989862337
prime,H_pos_base12,-0.030523837645538003,0.0026001682117899683,1.0181911805987902,0.9983930407668228,-0.03312528728858807,0.03312528728858807,lower_in_class,3.7244132989862337
prime,H_pos_base13,-0.035096650742915805,0.0029897025617076547,1.011520263220409,0.9989566143768004,-0.038088313546364966,0.038088313546364966,lower_in_class,3.7244132989862337
prime,H_pos_base14,-0.06932923362157971,0.005905799641050116,1.0122344821973723,0.9987295608960081,-0.07525036503121317,0.07525036503121317,lower_in_class,3.7244132989862337
prime,H_pos_base15,-0.04206624687439041,0.003583406489780038,1.0092697281193757,0.999125621263408,-0.04565304872500344,0.04565304872500344,lower_in_class,3.7244132989862337
prime,H_pos_base16,-0.019450027234574403,0.0016568474489034844,1.0140105936245025,0.9987810198588342,-0.021107193676673856,0.021107193676673856,lower_in_class,3.7244132989862337
prime,H_dynamical_collatz,0.11283198771775875,-0.009611574768008068,0.8588725513110023,1.010530676713298,0.12250988862638931,0.12250988862638931,higher_in_class,3.7244132989862337
prime_power,H_algebraic,-2.4102269755739876,0.20598481947107783,8.881840601278969e-16,0.7392993368522701,-3.686887299644721,3.686887299644721,lower_in_class,3.7216612726862697
prime_power,H_geometric,-1.938549474894002,0.16567392518154833,0.1238691930274435,0.8576347648512961,-2.553935768514872,2.553935768514872,lower_in_class,3.7216612726862697
prime_power,H_arithmetic,-1.4654310321134363,0.12523988390152163,0.03976994904596193,0.9413358492172023,-1.7603940820028054,1.7603940820028054,lower_in_class,3.7216612726862697
prime_power,H_pos_base2,-0.07839136529610362,0.006699547964676467,1.1257238499896682,0.9882267278930417,-0.08511318126099574,0.08511318126099574,lower_in_class,3.7216612726862697
prime_power,H_pos_base3,-0.047720479947597864,0.004078327288964416,1.0497688487723558,0.9955262728563374,-0.051803796703632644,0.051803796703632644,lower_in_class,3.7216612726862697
prime_power,H_pos_base4,-0.03840501383053748,0.003282201187208192,1.0357044448057684,0.9968217807763029,-0.041689800975183766,0.041689800975183766,lower_in_class,3.7216612726862697
prime_power,H_pos_base5,-0.03560822669670868,0.003043179842453934,1.0188284167943134,0.9983165972778382,-0.0386534622323066,0.0386534622323066,lower_in_class,3.7216612726862697
prime_power,H_pos_base6,-0.03724049115041785,0.003182677782786096,1.0166816798614762,0.9984980924580976,-0.04042552428820589,0.04042552428820589,lower_in_class,3.7216612726862697
prime_power,H_pos_base7,-0.02592891761102289,0.0022159586907437856,1.0156327180577787,0.9986225092711392,-0.028145656756766002,0.028145656756766002,lower_in_class,3.7216612726862697
prime_power,H_pos_base8,-0.04439683160027213,0.0037942788936279805,1.0215304641045955,0.9980479133733575,-0.04819512180331882,0.04819512180331882,lower_in_class,3.7216612726862697
prime_power,H_pos_base9,-0.04692989112751019,0.004010761330640865,1.0224228846797785,0.9979590618083402,-0.0509453963313435,0.0509453963313435,lower_in_class,3.7216612726862697
prime_power,H_pos_base10,-0.02904866970325898,0.002482581534992909,1.0174477761747782,0.9984566275984528,-0.031532356716331374,0.031532356716331374,lower_in_class,3.7216612726862697
prime_power,H_pos_base11,-0.03209877301319286,0.0027432519971660268,1.012888105467964,0.9988440881946536,-0.034843524275757466,0.034843524275757466,lower_in_class,3.7216612726862697
prime_power,H_pos_base12,-0.03280457039746649,0.002803571439383988,1.0207952298420064,0.9981537889915371,-0.035609743779638894,0.035609743779638894,lower_in_class,3.7216612726862697
prime_power,H_pos_base13,-0.03723069360475279,0.0031818404568039233,1.014205038851964,0.9987133534418104,-0.0404148875366738,0.0404148875366738,lower_in_class,3.7216612726862697
prime_power,H_pos_base14,-0.07121155959590884,0.00608594144712222,1.0144384790054757,0.998521931781535,-0.07731417913324938,0.07731417913324938,lower_in_class,3.7216612726862697
prime_power,H_pos_base15,-0.04458671583069129,0.0038105069374242064,1.0135233185586316,0.9987445460112042,-0.048401286186141215,0.048401286186141215,lower_in_class,3.7216612726862697
prime_power,H_pos_base16,-0.02215431420815182,0.0018933703999327652,1.0183245276912656,0.9983966381109551,-0.02404816493172106,0.02404816493172106,lower_in_class,3.7216612726862697
prime_power,H_dynamical_collatz,0.1078501971278048,-0.00921718311612599,0.9150200540791369,1.006395077754525,0.11712549341476876,0.11712549341476876,higher_in_class,3.7216612726862697
squarefree,H_algebraic,-0.14524196449293883,0.22520237521996953,1.11095026661934,0.7439278512994224,-0.37665515747950296,0.37665515747950296,lower_in_class,2.0770349453963837
squarefree,H_geometric,-0.595721050328665,0.9236848039815179,0.6717141180439661,0.6689414101365887,-2.265645042854418,2.265645042854418,lower_in_class,2.0770349453963837
squarefree,H_arithmetic,-0.5269821869449997,0.8171029675407484,0.7373325944683716,0.7805882005613897,-1.7812182090508597,1.7812182090508597,lower_in_class,2.0770349453963837
squarefree,H_pos_base2,-0.018279312924370576,0.028342667371166735,1.0266917725299871,0.9564549309933059,-0.04663401541853145,0.04663401541853145,lower_in_class,2.0770349453963837
squarefree,H_pos_base3,0.004788009337928793,-0.007423963723163751,0.9930173465149316,1.0106891314342412,0.01221217789812658,0.01221217789812658,higher_in_class,2.0770349453963837
