k,n_observations,mean_proximity,std_proximity,median_proximity,min_proximity,max_proximity,mean_neighbor_distance
5,100000,0.428801640733149,0.07860135403329509,0.4265156255890251,0.041482996343853065,0.8253070295692825,2.4176990198402994
10,100000,0.40842228486830834,0.07169570881638432,0.4077236745831889,0.038750803580386226,0.7298984091321802,2.5322378176468106
20,100000,0.3887136907652055,0.06605255564073435,0.3889670031895457,0.03611276196406541,0.6570972830608028,2.656077959613911
