feature,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15
H_pos_base2,0.4368352056443368,-0.3537536394231653,0.11562135886995153,-0.03914344862401558,-0.0010267204556305269,-0.06913281021559486,-0.13997563377382238,-0.09505269502036831,0.008450242093232557,-0.167152091713675,0.023737307247640404,0.03226783626107593,-0.5206712968900679,0.05895074985296125,-0.5757903901089004
H_pos_base3,0.178234782022903,0.3993081804842638,0.5650454576527886,0.08793214158446605,0.06626062440917423,0.007844490477834998,0.042056754638437194,-0.0599324274851019,-0.06567037135797278,-0.003707211238535405,0.034241769957934334,-0.04134369314838178,-0.08426717500706252,-0.6764987608457522,0.002136542304621125
H_pos_base4,0.4863283594521906,-0.3625294077000083,0.09613705090412705,0.06720339938518023,-0.03580253039983594,0.05546791325349251,0.11980804621850957,0.04637381105419512,-0.04055483352059646,0.10434264742535095,-0.02292300839577138,0.04005268293436795,-0.21546069631544923,0.032561907681318725,0.7316352665223897
H_pos_base5,0.11526319084687536,0.10831264735508445,-0.14648294086155766,0.6577479492109711,0.02159607676897141,-0.29107058567739236,-0.3894970252315167,0.31971341758527055,0.34521403412033935,0.012425744939632546,0.2353227891637156,-0.07695402349445055,-0.0024466362450221713,-0.01291454481217235,0.03132786871230296
H_pos_base6,0.1378389734049283,0.11713432868365384,-0.2829706340318432,0.16546960751498557,0.420476545218292,-0.4658518055890638,0.36824116255085787,-0.004497288760010657,-0.23966354080679309,-0.22700236390585754,-0.44459823136817983,-0.14658372565683017,-0.029961809316934856,-0.0356494566115626,-0.0097739817048817
H_pos_base7,0.10256838683492436,0.16279136017891846,-0.19671449060117932,0.46823888050630563,-0.17584515515421575,0.5360434787878207,-0.01801376344440186,-0.5075487381981775,0.052519036269817056,-0.2086285702685545,-0.28432184892039736,-0.008646460004817957,-0.01694184262625057,0.036794691178865566,-0.0011967050963798058
H_pos_base8,0.33984940194450786,-0.106683763921866,-0.024261252002713396,-0.2866373730809962,0.05153154703761699,-0.16629510368644404,-0.4171338716801782,-0.3013946240264197,0.04685054873731009,-0.35017651456412996,0.052215592794785055,-0.19723033496734066,0.560404424215027,-0.08452943782680394,0.08705880427741364
H_pos_base9,0.23357653210732499,0.45254546382010297,0.46368514158028856,-0.0005774204373869643,0.02444086242393901,-0.08912533021420309,0.06171678879140163,-0.031752374823121175,0.03811394575318677,0.006822616371172694,-0.018755309737978718,-0.008543018212458932,0.07171524524566561,0.7107834503861301,-0.0015335639515132587
H_pos_base10,0.12176618657988722,0.11954745109303547,-0.15439577738926916,-0.2232392611087858,0.6946327852155929,0.3692252088554408,0.0521109951154543,0.027317442446998186,0.4980450974586902,0.07515817137502763,0.10762628491682466,-0.030808958738856293,-0.09175952481657,-0.01215930108239351,0.010289867560558538
H_pos_base11,0.1570423631522072,0.20886675191569648,-0.12641281501051213,-0.10182442028911085,0.06044639113280792,0.38611945975356915,-0.3520224837809694,0.5714009299202354,-0.48180401029328324,-0.2250604039036964,-0.12955863127075282,0.017483364881274322,-0.03777054000197467,0.02883882014555284,0.008149882669373859
H_pos_base12,0.19048135783210318,0.212978048980456,-0.30669140217209906,0.05121366402124154,0.1241417748175042,-0.06935833849950848,0.07449949681586132,-0.2814624044709609,-0.4054448827804203,0.11271168044068626,0.6083970957493943,0.41134634737971293,0.0055505194751246205,0.010987037198340752,-0.009374707416325366
H_pos_base13,0.18215141582279945,0.2529597045748729,-0.27536145688368646,-0.19565354758364506,-0.16788394071052717,-0.07841451089621497,-0.21903962067614463,-0.15231174102745976,-0.08424912696376283,0.6281114404821527,-0.1335645783163666,-0.4783430729268533,-0.1836714178430153,-0.025587574538142904,-0.02352720229337762
H_pos_base14,0.20020881777125274,0.2606437140668073,-0.20181633191468548,-0.2539509263045973,-0.2810994159462811,-0.18290755895452948,-0.05764387979228623,0.08156967543514251,0.3467428288511781,0.01611645330010768,-0.3518811434412332,0.6355800633989156,-0.02205626558064698,-0.12303453805234513,0.020377224492076906
H_pos_base15,0.15988343080368034,0.21003564505723418,-0.22767250526610472,-0.17266167127490425,-0.4125482994758598,0.0371428086417551,0.44619397382940934,0.18944980971698172,0.19751125615414186,-0.3878873865049861,0.3418764575618533,-0.3536084429852028,-0.09459055010606435,-0.04186040934592931,0.00583810909915812
H_pos_base16,0.3917054303291222,-0.19114535273747416,0.005277572503663008,0.17142827656301987,-0.06251170027027504,0.1902439783709472,0.34097606636528904,0.24763471142862006,-0.006729461086193652,0.35921212289572874,-0.061006564844649024,0.030253722111948378,0.5494942601062456,-0.0633982931702502,-0.35106649239300536
