class,count,prevalence,centroid_distance_19D,centroid_H_algebraic,centroid_H_geometric,centroid_H_arithmetic,centroid_H_pos_base2,centroid_H_pos_base3,centroid_H_pos_base4,centroid_H_pos_base5,centroid_H_pos_base6,centroid_H_pos_base7,centroid_H_pos_base8,centroid_H_pos_base9,centroid_H_pos_base10,centroid_H_pos_base11,centroid_H_pos_base12,centroid_H_pos_base13,centroid_H_pos_base14,centroid_H_pos_base15,centroid_H_pos_base16,centroid_H_dynamical_collatz
prime,78498,0.078498,3.7244132989862337,-2.410226975570041,-1.9441417977184559,-1.4664804362144637,-0.0766416681202503,-0.045433878964321515,-0.036553624694711614,-0.033895742579929125,-0.035916825077585514,-0.024059358226390222,-0.04173588814702749,-0.04477364366238264,-0.027831431267873432,-0.029803093109422047,-0.030523837645708922,-0.03509665074272239,-0.0693292336215986,-0.04206624687444186,-0.019450027234496785,0.11283198771775439
prime_power,78734,0.078734,3.7216612726862697,-2.410226975570034,-1.938549474896607,-1.465431032113432,-0.07839136529618625,-0.047720479947673686,-0.038405013830543844,-0.03560822669673726,-0.03724049115041275,-0.025928917610965302,-0.04439683160023907,-0.046929891127440754,-0.029048669703237582,-0.03209877301319266,-0.032804570397643326,-0.03723069360455504,-0.07121155959592222,-0.04458671583074674,-0.022154314208067027,0.10785019712780616
squarefree,607925,0.607925,2.0770349453963837,-0.14524196449177842,-0.5957210503281818,-0.52698218694499,-0.018279312924426368,0.004788009337997779,-0.026037957301772142,0.009893907549476678,-0.004396645973761139,0.009355957389734097,-0.021186741746372674,-0.009353038442348924,-0.0017060879945097753,0.0059035421419476,-0.018834965513057297,0.004767036491054956,-0.011877483851105328,-0.0034886458335335684,-0.004123527670793624,0.08438556880551419
semiprime,210035,0.210035,1.8396428719904199,-0.6228125691068561,-0.8993280314252422,-0.9466489768202516,-0.04081368078909179,-0.018041901427652593,-0.030180703542251757,-0.008743913428230325,-0.024940983810672075,-0.004688619270723883,-0.030723707613574687,-0.02819347872051414,-0.020890279194765736,-0.010812189125817785,-0.03157175750963744,-0.017865825957726095,-0.04297957576448576,-0.024567215784939405,-0.01448846269571805,0.09603937298338704
highly_composite,38,3.8e-05,8.83915811811069,0.3471195572490949,1.408877137658817,2.572647196590259,-0.3878489665150436,-2.658652928667501,-0.7179849712944993,-2.3334349074614424,-2.0614087143723494,-1.4516388220900223,-1.8115767067942032,-2.167047042012351,-1.913460835068151,-2.2926769633656883,-2.3975686925471313,-1.924118658467661,-2.3316337230951283,-2.652875682855259,-1.877872079185699,-2.741906947421499
perfect,4,4e-06,12.444735242816556,-0.964886211833645,0.6103084329491284,0.6505909931123527,0.12694862290015868,-1.8382596376517655,-1.6946018751759144,-2.9435618409475044,-3.0963076505460907,-2.3182702972196223,-3.3916563727567106,-4.042787496962995,-3.4168469700213286,-4.052971249117603,-3.570101985947721,-4.893730768145771,-3.1526627614152813,-3.1258949273093086,-3.2125723344456443,-0.7590565777781495
abundant,247545,0.247545,2.4144660367617186,0.7138925317941525,1.016987843658788,1.3102182950247092,0.04770859268370292,0.033839207451987666,0.024269419592141836,0.007335543292300499,0.04483623302203774,0.0013148830949817254,0.025243550986217722,0.02046278873279743,0.009686240615222984,0.0017495202991419745,0.056280306838350655,0.0010597135165453058,0.03144343739414271,0.011713606338834228,0.004304729165878336,-0.1689914568124972
deficient,752450,0.75245,2.414413362628091,-0.23485182671251348,-0.33457194963802295,-0.4310440872137601,-0.015672553991822647,-0.011108249371293694,-0.007964211357588786,-0.002387994907028067,-0.014724882441807995,-0.0004115227912872335,-0.00827792945540753,-0.006701705800458541,-0.003159641396071212,-0.0005450250136706293,-0.01848734935684004,-0.0003135520846959702,-0.010318589856994449,-0.003827788328987517,-0.001389506515059519,0.05562737633037881
carmichael,43,4.3e-05,2.057089419740005,0.7837381369038794,-0.027789502126293875,-0.37968188124775337,0.1613965105556067,-0.2916696326813982,-0.15360385042413605,-0.20875312097371665,-0.4678336051179357,-0.15572873044526073,-0.7026626470298437,-0.7019899297908949,-0.490980063272166,-0.4317449108257581,-0.912306774261494,-0.4663236873710074,-0.5294642057224284,-0.4202155459593407,-0.3395588841860194,-0.12124484876721793
