class,feature,class_mean_standardized,rest_mean_standardized,class_sd_standardized,rest_sd_standardized,cohens_d_class_vs_rest,abs_cohens_d,direction,centroid_distance_19D
abundant,H_arithmetic,1.3102182950247017,-0.431039713792705,0.5613336996014556,0.6890368014812729,2.6393461735530512,2.6393461735530512,higher_in_class,2.4144660367617186
abundant,H_geometric,1.0169878436589028,-0.33457184251356314,0.7343615766982019,0.836286231121505,1.6639754125933177,1.6639754125933177,higher_in_class,2.4144660367617186
abundant,H_algebraic,0.7138925317937251,-0.23485859856453606,0.6197322923760613,0.9898538530888009,1.0399261047371184,1.0399261047371184,higher_in_class,2.4144660367617186
abundant,H_dynamical_collatz,-0.1689914568124434,0.055595338161931226,1.1809182206223132,0.9261268005762708,-0.22564907387094643,0.22564907387094643,lower_in_class,2.4144660367617186
abundant,H_pos_base12,0.05628030683862212,-0.018515271420038767,0.9797893454915468,1.0058734059483165,0.07483450409206993,0.07483450409206993,higher_in_class,2.4144660367617186
carmichael,H_pos_base12,-0.912306774261494,3.923087822241656e-05,1.3186516615259753,0.9999675870642807,-0.9123614199188214,0.9123614199188214,lower_in_class,2.057089419740005
carmichael,H_algebraic,0.7837381369038794,-3.370218908128789e-05,0.39874853412522115,1.0000054543714152,0.7837814066689811,0.7837814066689811,higher_in_class,2.057089419740005
carmichael,H_pos_base8,-0.7026626470298437,3.0215793102661275e-05,1.24829979786703,0.999978659778664,-0.7026996198560366,0.7026996198560366,lower_in_class,2.057089419740005
carmichael,H_pos_base9,-0.7019899297908951,3.0186865016984455e-05,1.1646976488861607,0.9999829167319173,-0.7020268529565835,0.7020268529565835,lower_in_class,2.057089419740005
carmichael,H_pos_base14,-0.5294642057224282,2.27679398676745e-05,0.9809311905854312,0.9999957656541114,-0.5294896356329406,0.5294896356329406,lower_in_class,2.057089419740005
deficient,H_arithmetic,-0.43104408721376,1.310196418598237,0.6890334867444469,0.5613622510787459,-2.639308426005509,2.639308426005509,lower_in_class,2.414413362628091
deficient,H_geometric,-0.334571949640405,1.0169608705591704,0.836271021023523,0.7344409441598028,-1.66393109372001,1.66393109372001,lower_in_class,2.414413362628091
deficient,H_algebraic,-0.23485182671414057,0.7138527853405563,0.9898523122216444,0.6197956566199394,-1.0398662652151147,1.0398662652151147,lower_in_class,2.414413362628091
deficient,H_dynamical_collatz,0.05562737633034156,-0.16908430345290185,0.9258128450160643,1.1816435875277855,0.22577575494531243,0.22577575494531243,higher_in_class,2.414413362628091
deficient,H_pos_base12,-0.018487349357776635,0.05619392455770744,1.005802180518572,0.9800186364268497,-0.07472002176512992,0.07472002176512992,lower_in_class,2.414413362628091
highly_composite,H_dynamical_collatz,-2.7419069474214997,0.00010419642346576856,5.559465021445448,0.9993045910935034,-2.7424001774277755,2.7424001774277755,lower_in_class,8.83915811811069
highly_composite,H_pos_base3,-2.6586529286675016,0.00010103265053100919,3.190403152661344,0.9996968314093931,-2.659108459110097,2.659108459110097,lower_in_class,8.83915811811069
highly_composite,H_pos_base15,-2.6528756828552584,0.00010081310684596424,2.3102827978133713,0.9997870046685193,-2.6533286759762453,2.6533286759762453,lower_in_class,8.83915811811069
highly_composite,H_arithmetic,2.572647196590259,-9.776430851421917e-05,1.328269942413267,0.9998610888283325,2.573065988369687,2.573065988369687,higher_in_class,8.83915811811069
highly_composite,H_pos_base12,-2.397568692547133,9.11110725389696e-05,1.8803204507735016,0.9998448506940072,-2.3979193270730104,2.3979193270730104,lower_in_class,8.83915811811069
perfect,H_pos_base13,-4.893730768145771,1.9575001373936627e-05,2.3489443988708745,0.9999463245881701,-4.893979863886516,4.893979863886516,lower_in_class,12.444735242816556
perfect,H_pos_base11,-4.052971249117603,1.6211949844682252e-05,1.9865988953462197,0.9999637260146703,-4.053116568452268,4.053116568452268,lower_in_class,12.444735242816556
perfect,H_pos_base9,-4.042787496962995,1.617121467350287e-05,1.805388683064604,0.9999649216746769,-4.042931784472038,4.042931784472038,lower_in_class,12.444735242816556
perfect,H_pos_base12,-3.570101985947721,1.4280465067049194e-05,2.3185408882881124,0.9999689445563833,-3.5702037067967987,3.5702037067967987,lower_in_class,12.444735242816556
perfect,H_pos_base10,-3.4168469700213286,1.3667442550227882e-05,2.2985835517060376,0.9999712244327592,-3.416937006259829,3.416937006259829,lower_in_class,12.444735242816556
prime,H_algebraic,-2.4102269755739876,0.20531479815410766,8.881840770857005e-16,0.7403890889724026,-3.6800465394976176,3.6800465394976176,lower_in_class,3.7244132989862337
prime,H_geometric,-1.9441417977158402,0.1656114070692174,0.0,0.8577799491622339,-2.5621669526702067,2.5621669526702067,lower_in_class,3.7244132989862337
