n,mean_distance_to_k_neighbors,proximity_score
1,25.80591646120373,0.038750803580386226
3,19.874584231190248,0.0503155179684512
13,10.767904445393402,0.09286858042538772
18,7.338452854788919,0.13626850506333701
19,5.455776932701714,0.18329195132701553
26,9.03492622773367,0.11068158995369354
42,10.813749164463221,0.09247486554304092
45,7.466767688865356,0.13392675943180782
49,5.773966689590254,0.17319116194464765
105,6.192187129359464,0.16149382748116028
117,6.961340716517746,0.14365048928392113
122,6.344872174618553,0.15760758806145078
125,6.94225440891591,0.1440454269027594
128,13.642687311446844,0.07329934177710579
132,5.325587522265492,0.18777270973746285
134,4.900870820862557,0.2040453700070787
143,5.353907620219384,0.18677946481990976
155,5.406758705746089,0.1849536948887796
162,6.48635977145679,0.15416967840734694
164,5.371152275839868,0.18617978948352332
181,6.045755780874982,0.16540529195096065
193,4.9288978525529,0.20288511345023139
209,4.6073777859138945,0.21704319603594832
246,5.596068945861151,0.17869686911906627
255,12.17236189576479,0.08215332476664651
264,4.853619764718649,0.2060317965714731
273,7.447805932967157,0.1342677305236218
280,5.774084659498321,0.17318762348848404
292,5.909153606380224,0.16922897365878456
309,4.420197905777043,0.22623421424022871
311,3.884725040089381,0.25741847612893964
318,4.664779648634301,0.21437239812443312
333,5.591594967467298,0.17883984906238107
335,3.7145414556525056,0.2692122330410412
338,5.506951077673348,0.1815886841730056
355,5.049108599996645,0.19805476158711785
359,3.3210301102353825,0.3011113921905461
381,3.948707660550899,0.2532474130688705
409,4.25027700764894,0.2352787825829073
412,3.0355856298674846,0.3294257260149583
436,4.8144513190325915,0.2077079886645797
441,3.655128013072472,0.273588229036918
445,5.5968668684631835,0.1786713930314384
447,5.846075378446666,0.1710549274965959
455,5.651139814532905,0.17695545196530907
466,4.777439940582067,0.20931712641853834
477,5.00827102185812,0.19966970550024069
479,5.504908700761584,0.18165605541495575
516,4.767931045665075,0.20973457678440502
518,4.957142750756795,0.20172911095754317
524,4.517243648753919,0.22137393458411936
529,4.304323423963254,0.23232454941292643
534,4.64095242725917,0.21547301242007333
535,4.908331569988102,0.20373521750532847
537,4.244872218665589,0.2355783515938491
557,5.343444251401701,0.1871452106452671
560,5.220898576489423,0.19153790968148188
564,5.7148737774585765,0.1749819924184797
567,4.309576225022561,0.2320413766424407
571,3.969411579932779,0.25192650846669895
599,4.03860405122313,0.24761030972989115
626,5.1343025663516375,0.19476842026285004
628,5.415203138409261,0.18466527929616497
638,4.467927463318357,0.22381742054000806
640,7.413153602897978,0.13489535676273337
658,5.01440149106329,0.19942559481565433
671,3.244919719919637,0.308174033971003
675,4.5630306801737115,0.2191525917949146
694,3.50581982653636,0.28523998650201127
707,3.9096212293491157,0.25577925362509524
711,3.5175812023323894,0.28428625878960506
741,4.120615337475249,0.24268220110360247
744,4.618748079077762,0.21650888571507804
761,4.073774495747375,0.24547259575699573
778,4.019998920721467,0.24875628569081348
799,5.120773912911763,0.19528298202706376
820,6.325935251589276,0.15807939225249107
835,4.145935768096518,0.24120007060767343
837,4.085742671320978,0.2447535443235443
868,3.85917470576216,0.25912275972026716
882,4.166726157621129,0.2399965733698902
891,4.4460147654322535,0.22492053057825426
896,4.004988949893871,0.24968857904745267
897,3.061023367127478,0.326688130100128
911,4.952799297312095,0.20190602121561887
918,4.058561220469289,0.24639273517823743
931,5.683787188163556,0.17593902918855167
942,6.096871120698321,0.16401855643707594
945,4.088684493373418,0.24457744333671816
956,3.740785376061725,0.2673235429113354
957,4.270108547675148,0.23418608422594167
981,4.870452373199183,0.2053197369309125
985,5.127399864279085,0.1950306249696805
986,3.209678192185791,0.311557713927292
1002,4.800939557383509,0.20829256191360745
1011,5.5798191146762415,0.17921727917121627
1016,3.9055004007862406,0.25604913516291733
1032,4.955970520865304,0.20177682570742972
1041,4.630844580646669,0.21594333011714684
1065,3.9567228513659614,0.25273440611452525
1072,4.767612299133304,0.20974859893317638
1075,4.912065810811222,0.20358033432671938
1079,3.515433267500666,0.28445995810657954
1103,4.81794347689835,0.20755743706722832
1105,5.032041830570917,0.19872648790885444
1117,4.268523024147254,0.23427307158535032
1119,3.8755985961737403,0.2580246574005397
1141,4.190128702015074,0.23865615381189878
1150,3.801414236933044,0.2630599923271004
1158,3.369917155353528,0.296743199876911
1159,3.6150494662574353,0.27662138771091194
1220,4.912056679113781,0.20358071279018985
1232,4.1495827944804375,0.2409880823030951
1233,3.0242406430265416,0.3306615173979371
1234,4.533256857806064,0.22059195659249364
1237,4.250752434465465,0.2352524677493987
1245,3.7391322192583893,0.26744173283021005
1247,3.2813888716445625,0.30474900693452905
1249,5.061297926156441,0.19757777838602839
1262,4.388381973941934,0.22787442067206976
1272,3.6877608677029863,0.2711672572800534
1273,3.9186402503283575,0.25519056002039253
1280,8.259173553812373,0.12107748959195638
1281,5.862936864324931,0.17056298287717808
1294,4.95363022025339,0.20187215345852877
1295,5.908952388137046,0.1692347364327143
1300,5.485328471466333,0.18230448827296913
1301,5.397224384688314,0.18528041984631405
1310,4.005737898407725,0.24964189504192197
1317,4.574849303166154,0.21858643503463668
1321,3.875116868165757,0.25805673326004247
1322,4.271270785986166,0.2341223607926516
1324,3.9235889937347386,0.25486869333066337
1325,4.1539374009278145,0.24073545253147083
1326,4.506317589355494,0.22191067987793572
1332,4.063305179151319,0.24610506863494278
1341,4.116437835819959,0.24292848328670694
1346,4.122278860323446,0.24258426804277247
1348,4.620681968780942,0.2164182704536166
1354,2.9650393876686594,0.3372636478822425
1399,4.606522962850438,0.2170834722988117
1408,5.329010513836229,0.18765209740221284
1422,3.54690558893277,0.2819358945216832
1438,3.4567618246867973,0.2892880825222364
1444,4.394316747411546,0.22756666337009462
1445,4.802396323677161,0.2082293781272302
1446,5.150983395720274,0.19413768656887184
1459,4.183044577158607,0.23906032593107704
1462,5.097503407403503,0.1961744642578219
1516,3.498734704192716,0.28581761252185317
1533,4.436728338489901,0.22539130722169431
1535,5.318688443450332,0.18801627706380436
1540,3.643049167585262,0.27449533453937974
1541,3.741755733343708,0.26725421734200505
1543,4.565000540463022,0.219058024448416
1558,4.81496780237517,0.20768570861605834
1561,5.101154546848809,0.1960340528434969
1564,4.488795835350827,0.22277689533670247
1583,4.767578292199613,0.20975009506103384
1616,4.268864401228513,0.23425433698760287
1620,4.661857626461099,0.21450676535544558
1643,4.909028994809388,0.20370627288149173
1647,5.451908212453705,0.18342201684825377
1655,4.893440190683991,0.20435521045165128
1659,3.3144571562421823,0.30170853109878903
1673,4.249716765361834,0.23530979950251382
1692,5.153192385441057,0.19405446666905624
1695,3.432896210301267,0.2912992233784865
1726,4.4929088393878995,0.22257295568365335
1741,4.424170668115574,0.2260310632242659
1783,4.687607858061084,0.21332842470603172
1791,5.018145330016184,0.1992768112988421
1800,4.263521060479177,0.23454792079469064
1825,4.076530999704633,0.2453066099760336
1836,3.1734304986172326,0.3151164017725983
1843,4.540215295435017,0.22025387232302288
1857,3.7490351655075087,0.2667352947766663
1868,3.5892158314521594,0.27861238971386454
1869,3.3921151129404388,0.2948013162008703
1879,4.390243559505006,0.2277777955700756
1889,4.215457612474958,0.23722216943670035
1907,5.033892077460036,0.1986534444147984
1911,6.5703372512879925,0.15219918883217393
1915,5.364223440788457,0.18642027332344477
1917,4.247383339601102,0.2354390739060724
1919,5.194179631367689,0.19252318382691275
1928,6.25590678199146,0.15984892915579973
1954,2.796982639986831,0.3575281396828229
1965,4.188535351144236,0.23874694043744393
1967,4.1544970216998305,0.24070302488521342
1983,4.914801314047276,0.20346702462653762
1995,3.977755054538382,0.2513980841678042
2032,3.550202205066379,0.28167409692119805
2040,4.982787093694781,0.20069089471336218
2045,5.514304934102213,0.18134651818318953
2073,4.089797210822086,0.244510900773671
2083,3.633370083743093,0.27522657393863004
2095,4.245303335127036,0.23555442828441386
2096,4.826744237926134,0.2071789907868527
2098,3.6530854774309374,0.273741199371821
2128,4.025702927858902,0.2484038236104045
2144,4.2775300215964815,0.2337797735961982
2149,4.253048468867086,0.23512546525625225
2152,4.091726609176889,0.24439560496465337
2162,4.351858833905509,0.22978686537548726
2166,4.146576333719238,0.24116280987472308
2176,7.032204239917275,0.142202923277385
2185,5.400061820710932,0.18518306515760632
2186,8.132502290508105,0.12296338375053795
2189,4.78501091576571,0.20898593913442898
2199,4.836741859562604,0.2067507485483679
2212,4.767270254235541,0.20976364809847473
2214,4.489564293511855,0.22273876363569145
2216,5.724227256219477,0.17469606904815094
2223,4.640400997432868,0.2154986175877899
2224,4.725000246050408,0.21164020061918107
2230,3.2007116583790287,0.3124305175637497
2248,3.7218563296913656,0.26868312783117454
2258,3.3381567605336584,0.2995665188113677
2260,5.116306570110914,0.19545349487885086
2263,3.2275404932044816,0.3098334481333911
2272,4.520458126760611,0.22121651654726973
2305,4.338857572727601,0.23047541506902344
2310,4.2431384154393355,0.23567461206570706
2313,4.58456467469267,0.21812321800582246
2330,3.6264232368927596,0.27575380331407695
2341,4.748391216894428,0.21059764335378744
2350,3.931428565178949,0.25436046552056024
2369,4.222769567549172,0.2368114063538985
2371,3.457811801480754,0.28920023917191684
2380,5.4549067761511685,0.18332118971708422
2381,3.906676019047798,0.25597208346022027
2384,4.595226321378085,0.2176171378866683
2387,3.644972255239513,0.2743505107788578
2392,4.078788310814377,0.24517085070298567
2393,5.422676414361371,0.18441078234936237
2396,3.6356744650553567,0.27505212845960864
2398,3.511578930712401,0.28477218360483875
2410,7.020884506405727,0.14243219626921305
2429,3.440841060657589,0.2906266178445907
2438,3.054824936560543,0.32735100071743634
2444,3.786235985659365,0.26411454642217397
2461,4.8248752521440865,0.20725924458988054
2475,3.7880639303088897,0.26398709694379235
2486,4.3222614913542525,0.23136036586403944
2489,3.8404731115928095,0.26038458568584966
2511,3.997939812868881,0.2501288280481041
2540,3.381102679811805,0.2957614999303615
2546,4.054280295822382,0.2466529018800636
2550,4.676561985108881,0.21383229885201743
2557,3.8897229299261022,0.2570877201319687
2562,4.585511292846251,0.21807818935259382
2579,3.071903850972614,0.3255310219696682
2589,3.696415950024522,0.27053232469497795
2655,3.2541182916975755,0.3073029036931607
2692,3.15360544465619,0.3170973723723718
2693,3.3484778409361495,0.2986431589226604
2700,3.8789845376378667,0.2577994292827728
2712,3.6941129026206148,0.2707009846099523
2722,4.9887803961118,0.20044979345637032
2741,3.552899402677241,0.28146026291827503
2742,4.145369271236935,0.24123303246790587
2743,4.746407833968616,0.21068564585687083
2757,3.7452838932359307,0.267002456557634
2761,2.8723159279725166,0.3481511174522931
2771,2.7338468129343836,0.36578494276578755
2812,4.285400004200741,0.23335044547055625
2815,5.438553390549241,0.18387242492416275
2834,2.9665739055981315,0.33708919171458807
2851,5.122439971435227,0.19521946681194985
2859,3.3268299996339756,0.3005864441855224
2867,3.9833163230697948,0.25104709716578216
2868,3.3288929860248464,0.30040016431823974
2873,2.873384579397931,0.34802163524145624
2902,3.19902513994891,0.3125952301880497
2907,4.360774305915408,0.2293170730352329
2910,3.5059069848005513,0.2852328953206966
2942,3.4007074637939807,0.2940564605001518
