feature,mean,std,variance
H_algebraic,1.3473647222446543,0.559019849955743,0.31250319264454146
H_geometric,1.9305036471816086,0.4786192284301749,0.22907636582309596
H_arithmetic,1.3239810838159713,0.9026434756252395,0.8147652440888122
H_dynamical_collatz,0.8999717165612606,0.04328261034370021,0.0018733843581645847
